x,M+0.5MN,roK
3.205402,3.333333,0.9984292
5.382333,5.555556,0.9970862
7.585164,7.777778,0.9974272
9.802612,10.00000,1.000663
12.02124,12.22222,1.007476
14.22757,14.44444,1.018241
16.40986,16.66667,1.032556
18.55937,18.88889,1.049932
20.67130,21.11111,1.069569
22.74447,23.33333,1.090659
24.78038,25.55556,1.112565
26.78305,27.77778,1.134774
28.75753,30.00000,1.156944
30.71004,32.22222,1.178734
32.64741,34.44445,1.200244
34.57602,36.66667,1.220331
36.50363,38.88889,1.240494
38.43629,41.11111,1.259082
40.38073,43.33333,1.276977
42.34481,45.55556,1.293463
44.33450,47.77778,1.308469
46.35537,50.00000,1.320962
48.41179,52.22223,1.330586
50.50621,54.44444,1.335786
52.63919,56.66667,1.335518
54.80747,58.88889,1.327170
57.00554,61.11111,1.307913
59.22008,63.33333,1.265899
61.43737,65.55556,1.213457
63.65467,67.77778,1.176828
65.87196,70.00001,1.154631
68.08926,72.22222,1.137986
70.30655,74.44445,1.124683
72.52384,76.66666,1.113543
74.74113,78.88889,1.104070
76.95843,81.11111,1.095802
79.17572,83.33334,1.088516
81.39301,85.55556,1.082019
83.61031,87.77778,1.076201
85.82760,90.00000,1.070868
88.04489,92.22223,1.066055
90.26218,94.44444,1.061585
92.47948,96.66667,1.057470
94.69677,98.88889,1.053638
