   x              z  
  0.555555582       0.00000000    
   1.66666675       0.00000000    
   2.77777791       0.00000000    
   3.88888907       0.00000000    
   5.00000000       0.00000000    
   6.11111116       0.00000000    
   7.22222233       0.00000000    
   8.33333397       0.00000000    
   9.44444466       0.00000000    
   10.5555553       0.00000000    
   11.6666670       0.00000000    
   12.7777786       0.00000000    
   13.8888893       0.00000000    
   15.0000010       0.00000000    
   16.1111107       0.00000000    
   17.2222233       0.00000000    
   18.3333340       0.00000000    
   19.4444447       0.00000000    
   20.5555553       0.00000000    
   21.6666660       0.00000000    
   22.7777786       0.00000000    
   23.8888893       0.00000000    
   25.0000000       0.00000000    
   26.1111107       0.00000000    
   27.2222214       0.00000000    
   28.3333340       0.00000000    
   29.4444447       0.00000000    
   30.5555553       0.00000000    
   31.6666660       0.00000000    
   32.7777786       0.00000000    
   33.8888893       0.00000000    
   35.0000000       0.00000000    
   36.1111107       0.00000000    
   37.2222214       0.00000000    
   38.3333321       0.00000000    
   39.4444427       0.00000000    
   40.5555534       0.00000000    
   41.6666641       0.00000000    
   42.7777786       0.00000000    
   43.8888893       0.00000000    
   45.0000000       0.00000000    
   46.1111107       0.00000000    
   47.2222214       0.00000000    
   48.3333321       0.00000000    
   49.4444427       0.00000000    
   50.5555573       0.00000000    
   51.6666641       0.00000000    
   52.7777786       0.00000000    
   53.8888855       0.00000000    
   55.0000000       0.00000000    
   56.1111107       0.00000000    
   57.2222214       0.00000000    
   58.3333321       0.00000000    
   59.4444466       0.00000000    
   60.5555534       0.00000000    
   61.6666679       0.00000000    
   62.7777748       0.00000000    
   63.8888893       0.00000000    
   65.0000000       0.00000000    
   66.1111145       0.00000000    
   67.2222214       0.00000000    
   68.3333359       0.00000000    
   69.4444427       0.00000000    
   70.5555573       0.00000000    
   71.6666641       0.00000000    
   72.7777786       0.00000000    
   73.8888855       0.00000000    
   75.0000000       0.00000000    
   76.1111145       0.00000000    
   77.2222214       0.00000000    
   78.3333359       0.00000000    
   79.4444427       0.00000000    
   80.5555573       0.00000000    
   81.6666641       0.00000000    
   82.7777786       0.00000000    
   83.8888855       0.00000000    
   85.0000000       0.00000000    
   86.1111069       0.00000000    
   87.2222214       0.00000000    
   88.3333359       0.00000000    
   89.4444427       0.00000000    
   90.5555573       0.00000000    
   91.6666718       0.00000000    
   92.7777786       0.00000000    
   93.8888931       0.00000000    
   95.0000000       0.00000000    
   96.1111145       0.00000000    
   97.2222214       0.00000000    
   98.3333359       0.00000000    
   99.4444427       0.00000000    
