ksi,x,z
3.822230,87.49059,-0.2756350E-7
3.844452,88.59924,0.1255893E-7
3.866674,89.70789,0.8531470E-8
3.888896,90.81654,-0.6933246E-8
3.911119,91.92518,-0.1989739E-8
3.933341,93.03383,0.3246269E-8
3.955563,94.14247,0.1158824E-9
3.977786,95.25112,-0.1345637E-8
4.000008,96.35976,0.2404094E-9
4.022230,97.46841,0.4961520E-9
4.044452,98.57706,-0.2038467E-9
4.066674,99.68571,-0.1583175E-9
4.088896,100.7943,0.1167755E-9
4.111118,101.9030,0.3946318E-10
4.133340,103.0116,-0.5594807E-10
4.155562,104.1203,-0.4101161E-11
4.177784,105.2289,0.2364120E-10
4.200006,106.3376,-0.3383353E-11
4.222228,107.4462,-0.8896377E-11
4.244450,108.5549,0.3277807E-11
4.266672,109.6635,0.2919398E-11
4.288894,110.7722,-0.1957584E-11
4.311116,111.8808,-0.7695456E-12
4.333338,112.9895,0.9609778E-12
4.355560,114.0981,0.1077625E-12
4.377782,115.2068,-0.4140433E-12
4.400004,116.3154,0.4463268E-13
4.422226,117.4240,0.1589332E-12
4.444448,118.5327,-0.5212474E-13
4.466671,119.6413,-0.5352984E-13
4.488893,120.7500,0.3264851E-13
4.511115,121.8586,0.1480399E-13
4.533337,122.9673,-0.1644807E-13
4.555559,124.0759,-0.2508707E-14
4.577781,125.1846,0.7228730E-14
4.600003,126.2932,-0.5239934E-15
4.622225,127.4019,-0.2829350E-14
4.644447,128.5105,0.8178408E-15
4.666669,129.6192,0.9764758E-15
4.688891,130.7278,-0.5414464E-15
4.711113,131.8365,-0.2816156E-15
4.733335,132.9451,0.2804927E-15
4.755557,134.0537,0.5464676E-16
4.777779,135.1624,-0.1258092E-15
4.800001,136.2710,0.4649888E-17
4.822223,137.3797,0.5019758E-16
4.844445,138.4883,-0.1261922E-16
4.866667,139.5970,-0.1772857E-16
4.888889,140.7056,0.8923416E-17
4.911111,141.8143,0.5306991E-17
4.933333,142.9229,-0.4765475E-17
4.955555,144.0316,-0.1141385E-17
4.977777,145.1402,0.2184316E-17
